"id","age","sex","x1","x2","y"
224,57.1,"M",0.125,"A",0
229,58.8,"F",-0.356,"B",1
230,39.8,"M",1.324,"A",1
231,69.6,"F",-0.021,"C",1
234,42.6,"F",-0.013,"A",1
235,44.3,"M",-0.251,"C",1
236,36.8,"F",-0.969,"A",1
237,48.2,"F",-0.303,"A",0
241,42.1,"M",-0.083,"C",0
242,45,"M",-0.828,"C",0
243,65,"F",0.215,"B",0
248,36.4,"F",0.635,"B",0
249,43.4,"M",-2.237,"A",0
250,54.9,"M",0.677,"A",1
251,46.2,"F",0.52,"B",0
253,46.6,"F",0.825,"A",0
254,50.9,"F",1.121,"B",0
257,60.8,"M",0.988,"C",0
258,56.3,"F",1.224,"B",1
259,48.9,"F",-0.315,"A",1
261,44.8,"M",-0.923,"C",0
262,45.1,"F",0.407,"B",1
263,50.5,"F",0.264,"B",1
266,65.5,"M",-0.232,"A",1
268,32.4,"M",-0.929,"C",0
270,50.9,"M",-1.403,"A",0
271,58.5,"F",-1.241,"A",0
272,59.6,"M",-0.287,"C",0
274,36,"F",-0.617,"C",1
276,45.5,"F",-0.197,"B",1
278,50.7,"F",-0.358,"B",1
279,54.3,"F",-1.283,"B",0
280,50.2,"M",-1.069,"C",0
283,53.9,"F",-0.747,"B",0
286,51.3,"F",1.989,"A",1
287,52.2,"F",1.751,"C",1
288,66.4,"M",2.564,"B",0
289,47.8,"F",0.776,"C",0
290,51.7,"F",-0.161,"C",0
291,61.7,"F",-1.043,"B",0
293,61.5,"F",-0.497,"B",0
294,44.2,"M",1.281,"B",0
297,68.7,"F",-0.187,"C",0
298,36.5,"F",-1.554,"B",0
299,50.2,"M",0.326,"C",0
301,42.8,"F",-0.304,"A",0
305,45.6,"F",-1.903,"A",0
306,53.3,"M",-0.287,"C",1
308,52.1,"F",0.373,"A",1
309,62.4,"M",0.272,"B",1
315,46.5,"M",-0.269,"B",0
317,48.9,"F",-1.228,"C",1
319,66.8,"M",0.127,"C",0
320,59.1,"F",0.76,"A",0
321,52.4,"F",-0.408,"B",1
322,62.2,"F",-0.577,"B",1
323,36.6,"F",-2.839,"B",1
325,44.8,"F",-0.903,"C",1
327,49.4,"F",1.427,"C",0
330,50.1,"F",-0.153,"A",1
331,60.2,"M",0.369,"C",0
334,65.2,"M",1.305,"B",1
340,49,"F",-0.178,"C",0
341,56.2,"M",-0.248,"A",0
342,59.6,"M",0.682,"C",1
343,66.7,"F",0.746,"A",1
344,50.6,"M",0.279,"C",0
346,32.5,"M",0.378,"B",0
351,60.1,"F",0.794,"B",1
352,30.1,"M",1.107,"A",0
356,53.3,"F",-0.488,"C",1
357,54.1,"F",-0.87,"A",0
358,49.7,"F",-0.299,"C",1
360,75.7,"M",-0.197,"C",1
361,47.9,"M",-1.024,"B",0
362,56.5,"F",-0.622,"A",1
363,52.7,"F",0.356,"B",0
365,58.2,"M",-0.404,"C",0
369,58.6,"F",1.57,"B",1
371,74.2,"M",0.388,"C",1
372,33.5,"F",-0.558,"A",0
374,58.3,"F",0.816,"C",0
375,55.1,"M",-0.914,"C",1
377,40,"F",0.532,"A",0
379,49.9,"F",0.807,"B",1
380,32.1,"M",1.253,"B",1
384,39.4,"F",-0.399,"B",0
385,54.8,"F",-0.006,"A",1
388,38.6,"M",0.155,"C",1
389,45.6,"F",-0.12,"A",1
391,43.5,"M",-1.179,"C",0
392,28.4,"F",-0.422,"B",1
393,58.8,"M",1.617,"B",0
395,44.3,"M",-0.962,"A",0
397,42.3,"F",-0.959,"C",0
399,37.4,"F",0.433,"B",1
400,46.5,"F",-0.569,"A",0
404,49.7,"F",-0.058,"A",1
408,57.6,"M",-0.413,"C",0
410,52.3,"F",0.469,"A",0
412,52.7,"F",0.244,"C",0
413,56.5,"M",0.813,"B",1
416,23.6,"M",-0.136,"B",0
417,49.1,"M",-1.431,"C",1
419,55.4,"F",0.479,"A",0
425,42.8,"F",-0.21,"A",1
426,45.5,"F",0.602,"C",0
428,50.1,"M",0.214,"C",0
429,66.3,"F",-3.129,"B",1
432,53.8,"F",1.542,"C",1
433,53,"M",-2.66,"C",1
439,27.8,"M",-0.527,"A",0
440,62.4,"F",0.374,"B",1
441,37.6,"F",-0.191,"A",0
442,54.5,"F",-1.025,"A",0
444,48,"M",0.595,"C",1
445,43.5,"F",0.054,"B",0
448,58.8,"F",1.285,"C",1
449,29.5,"M",-0.358,"A",0
452,60.5,"F",1.115,"A",0
455,59.2,"F",1.595,"C",1
456,23.4,"M",-1.011,"B",0
457,61.1,"M",1.138,"B",1
459,52.3,"F",0.055,"A",0
460,47,"F",0.586,"B",0
462,46.5,"M",1.194,"B",0
466,62.1,"F",2.077,"A",1
467,57.4,"F",-0.571,"A",1
469,50.7,"F",0.259,"B",0
471,69.8,"F",-0.263,"A",1
474,47.6,"F",2.026,"C",0
475,47.9,"M",-1.787,"A",1
477,67.1,"M",1.179,"A",1
478,46.7,"F",-0.836,"A",1
484,51.2,"F",0.63,"B",0
486,57.8,"F",0.468,"C",1
487,59.1,"M",-0.646,"A",1
488,44.3,"M",-0.153,"B",0
492,64,"F",-0.536,"B",0
494,39.1,"F",1.86,"B",1
497,51.8,"F",-0.082,"A",1
500,55.5,"M",1.839,"C",0
501,44,"M",1.478,"C",0
502,40.1,"M",-1.407,"B",0
505,34.9,"F",0.43,"C",0
507,41,"M",1.129,"C",0
509,51.5,"M",-1.166,"B",1
510,49.2,"F",1.52,"C",1
514,52.1,"F",0.056,"C",0
515,43.8,"F",-2.319,"C",1
516,42.7,"F",0.683,"C",1
518,53.1,"F",0.629,"A",0
521,59.7,"M",-1.435,"A",0
522,48.9,"M",0.36,"B",0
523,43,"M",-0.817,"A",1
525,61.1,"M",-0.926,"B",0
526,55.5,"M",-2.059,"C",0
527,62.4,"F",0.173,"C",1
529,54.1,"F",-0.928,"A",0
530,44.4,"M",0.804,"A",1
531,56.1,"F",1.872,"A",1
536,58,"F",-0.005,"A",0
538,53.6,"M",0.398,"A",0
539,43.9,"M",-0.809,"C",0
541,47.3,"M",0.102,"B",0
542,45.3,"M",1.169,"B",0
545,58.7,"F",0.124,"C",0
546,58.6,"F",0.897,"C",0
547,38,"F",1.896,"B",1
550,44.4,"M",-1.903,"C",0
552,42.2,"F",0.753,"A",1
554,52.5,"F",-0.565,"A",0
555,66.5,"M",-1.369,"C",0
557,49.5,"M",0.091,"B",1
560,43.7,"M",0.174,"B",0
561,41.7,"F",-1.027,"A",0
563,39.1,"F",1.008,"C",1
569,47,"M",0.917,"A",0
570,50.8,"F",1.273,"A",1
571,59.6,"F",-0.426,"B",1
573,42.2,"M",0.511,"C",1
574,53.2,"M",0.619,"C",0
578,50.7,"F",-1.007,"A",0
580,50.3,"M",1.993,"C",0
581,46.8,"M",-1.183,"B",0
583,38.2,"M",1.748,"B",0
584,55,"M",1.837,"A",1
585,39.6,"M",0.195,"B",0
587,53.8,"M",-0.543,"C",0
590,36.8,"F",-0.016,"B",0
591,21.9,"M",-0.631,"C",0
592,54.6,"M",0.305,"A",0
596,38.4,"F",1.39,"C",0
597,48.7,"M",0.013,"A",0
598,30.6,"M",0.626,"A",0
599,61.8,"F",0.252,"A",1
600,68.6,"M",0.462,"C",1
606,47.9,"M",0.957,"B",0
609,47,"M",1.636,"A",0
610,41.5,"F",-0.751,"B",0
615,60.7,"M",-0.749,"A",0
616,24,"F",-1.313,"B",0
619,37.8,"M",0.501,"A",0
620,65.5,"F",-0.439,"A",1
621,35.8,"M",-0.424,"B",0
623,58.5,"M",-0.525,"A",0
625,41.2,"M",0.909,"C",1
626,59.4,"F",-0.457,"B",0
627,51.7,"F",0.319,"C",1
628,39.4,"M",-2.386,"C",0
630,70.9,"M",-0.878,"B",0
633,55.3,"F",-2.196,"C",0
636,30.6,"F",-0.164,"C",1
637,48.8,"F",0.899,"B",1
638,61.4,"F",0.689,"A",0
640,45.1,"F",0.32,"A",0
642,52.7,"F",1.252,"B",0
644,56.3,"M",0.82,"C",0
645,46,"F",1.391,"A",1
646,59,"M",-2.61,"A",0
648,46.7,"F",-0.363,"A",0
651,30.6,"F",0.692,"A",0
652,51.1,"F",0.928,"A",1
656,41.7,"M",-0.14,"C",1
658,55.4,"M",0.205,"A",0
662,63.8,"M",-1.484,"B",0
664,49.7,"M",0.415,"B",1
665,27.5,"M",1.025,"C",0
666,50.3,"M",0.726,"B",0
667,52.1,"F",0.22,"B",1
669,55.7,"M",-0.98,"B",0
673,54,"M",0.661,"B",0
676,30.4,"M",0.329,"A",0
678,36.7,"M",-0.661,"A",0
680,43.1,"F",-0.064,"C",1
682,59.8,"M",-0.677,"A",1
683,42.7,"M",-1.006,"B",1
685,39.6,"M",1.469,"A",0
686,45.9,"M",0.251,"B",0
687,47.6,"F",-0.43,"A",0
688,54.8,"M",-1.579,"B",0
693,61.9,"M",0.776,"B",1
694,42.1,"F",-0.069,"C",0
695,34.5,"F",-0.178,"C",0
697,48.4,"F",1.087,"A",1
699,54.2,"F",-0.731,"B",1
702,34.6,"F",-0.048,"B",1
703,43.1,"F",0.853,"C",1
704,51.2,"M",-0.411,"C",0
705,36.4,"M",-0.367,"C",1
707,52.9,"F",0.139,"A",1
710,57.5,"F",0.251,"C",1
711,60.6,"F",0.467,"B",0
714,49.1,"F",1.317,"C",1
716,61.3,"F",-0.645,"A",1
717,58.3,"M",-1.353,"B",1
719,53.7,"M",0.421,"A",0
724,34.7,"F",-1.555,"A",0
725,50,"F",0.865,"B",1
727,55.6,"F",-1.036,"A",0
728,51.9,"F",-0.083,"A",1
729,42.7,"M",-0.266,"C",0
731,67.4,"M",-1.497,"A",0
732,58.8,"M",-0.585,"B",0
733,30.6,"F",-0.173,"B",0
734,64,"M",-1.483,"B",0
738,49,"F",-0.799,"C",0
739,49.2,"M",-0.657,"A",0
741,57.1,"M",0.606,"C",1
744,56.6,"F",-1.512,"C",0
747,76.9,"M",0.497,"A",1
748,45.2,"M",0.073,"C",1
750,53.7,"M",1.094,"C",0
754,52.1,"F",-0.307,"B",0
759,29.6,"F",1.459,"A",1
760,48,"M",-1.408,"C",0
761,55.4,"F",-2.081,"B",0
762,56.2,"F",0.954,"A",1
763,56.2,"M",-1.512,"A",0
764,33.1,"F",-0.224,"B",1
765,53.7,"F",-1.347,"B",1
766,59.7,"M",-1.795,"C",0
768,47.8,"M",0.647,"B",0
769,46.8,"F",0.316,"B",1
771,33.3,"M",-0.016,"A",1
774,33.8,"M",-0.446,"C",0
777,50,"F",0.378,"A",0
779,54.7,"F",-0.336,"A",1
781,58.1,"F",-0.428,"B",1
782,59,"F",-0.985,"C",1
786,44.1,"M",-0.417,"C",0
789,31.1,"F",0.007,"A",0
793,58.9,"F",1.762,"C",1
795,48.3,"M",-0.966,"B",1
798,45.5,"F",0.186,"C",1
804,61.5,"F",-0.801,"C",0
807,49.2,"M",0.055,"C",1
812,34.3,"M",-1.099,"C",1
813,49.2,"F",0.174,"A",1
815,52.8,"F",1.436,"A",1
819,40.8,"F",-0.659,"C",0
822,57.4,"F",-0.151,"C",1
824,57.9,"F",0.3,"C",0
825,47.3,"M",-0.531,"A",1
826,44.1,"F",0.301,"A",0
828,31.5,"F",0.617,"C",1
829,38.3,"M",0.714,"B",1
834,65.2,"F",0.117,"A",1
838,41.8,"M",-1.074,"B",0
839,50.6,"F",0.352,"B",1
841,42.4,"M",0.59,"B",0
843,45.4,"M",0.02,"A",0
844,50.6,"M",1.341,"C",1
845,56.5,"M",-0.222,"C",0
846,49.7,"F",-0.106,"C",1
848,60.5,"M",2.036,"C",1
849,66.2,"M",2.483,"B",1
850,49.7,"F",-0.394,"B",0
851,55.6,"M",-1.055,"A",1
852,49,"M",0.651,"B",0
854,38.4,"M",1.285,"A",0
857,35.4,"F",1.514,"A",0
858,46.5,"F",0.162,"B",0
860,66.2,"F",0.485,"C",1
861,59.1,"F",-0.044,"A",0
862,51.4,"M",-0.535,"C",1
864,41.3,"M",-1.949,"A",0
866,75.5,"F",-1.595,"C",0
868,61.3,"F",-0.37,"C",0
869,44.7,"F",1.206,"B",1
871,38.6,"M",0.944,"C",0
872,51.4,"F",-0.294,"B",0
874,59,"F",0.487,"A",0
876,69.5,"M",0.878,"A",1
878,68.4,"F",-0.011,"A",1
880,48.7,"F",-0.767,"C",1
881,54.8,"M",0.012,"B",0
886,54.6,"M",-0.636,"A",0
887,39.6,"M",0.939,"B",0
889,42.4,"M",0.043,"C",0
891,40.1,"M",0.941,"B",1
894,68.3,"F",0.712,"A",1
897,52.4,"F",0.289,"B",1
898,46.5,"M",-1.669,"B",0
900,52.4,"F",0.216,"A",1
902,42.1,"M",-0.173,"A",0
903,53,"F",0.954,"C",1
904,66.4,"F",0.704,"C",1
906,43.8,"F",0.908,"B",0
907,58.3,"M",-0.397,"C",1
911,75.8,"M",-0.653,"C",0
913,51,"F",1.477,"B",1
920,65.9,"F",1.066,"B",1
922,47.9,"M",-0.248,"A",0
926,63.2,"F",1.624,"B",1
927,49,"F",0.901,"B",0
928,52,"M",0.591,"C",1
931,51.9,"M",0.839,"A",1
932,36.6,"M",0.542,"C",0
934,47.8,"M",0.057,"C",0
937,43.1,"M",1.255,"A",1
938,42.8,"M",-0.612,"A",0
939,47.9,"M",-1.801,"B",0
943,33.1,"F",0.624,"B",0
945,45.4,"F",-0.042,"B",0
950,37.9,"F",0.17,"C",0
951,48.6,"M",0.742,"A",1
952,39.9,"M",-0.673,"C",0
953,51.6,"F",0.498,"B",0
955,53.6,"F",-0.297,"A",0
956,33.8,"F",0.795,"C",0
957,52.2,"F",-0.763,"A",0
958,53.1,"M",0.851,"A",1
959,35.8,"M",0.502,"A",0
960,59.6,"F",1.434,"A",0
962,73,"M",-0.575,"C",1
964,50.5,"F",1.559,"B",0
965,51,"M",0.199,"B",0
969,49.2,"M",2.599,"B",0
970,44.2,"M",-1.047,"C",0
972,28.9,"F",-1.568,"C",0
973,35,"M",0.07,"C",0
977,42,"F",-1.399,"C",1
978,50.8,"F",0.432,"C",0
981,73.1,"M",-0.819,"B",1
982,38.8,"F",0.048,"A",1
983,46.9,"M",1.301,"A",0
986,42.3,"M",0.071,"B",0
987,49.2,"M",-2.018,"A",0
988,57.9,"F",-1.475,"A",0
990,66.6,"F",0.459,"A",1
991,56.8,"F",-2.174,"A",1
992,39.3,"M",0.618,"A",0
993,54.5,"F",-2.305,"B",0
995,53.1,"F",0.299,"C",0
996,49.1,"F",-1.428,"C",1
997,60.7,"M",1.267,"C",1
998,36.5,"M",1.215,"C",0
999,44.8,"M",-0.675,"C",0
1000,47.5,"F",1.121,"B",0
1002,39.6,"F",0.65,"A",0
1006,60.4,"M",2.205,"C",1
1015,47.9,"M",0.098,"B",0
1018,37.4,"F",-0.859,"B",0
1020,67.5,"M",-0.943,"B",1
1021,48.4,"F",2.044,"B",1
1023,64,"F",0.509,"B",1
1028,64.2,"M",-1.4,"B",0
1030,57.2,"F",0.058,"B",0
1032,53,"F",0.406,"B",0
1033,40.5,"F",-0.984,"C",0
1034,45.4,"F",-1.61,"A",0
1039,50.5,"F",-0.038,"A",0
1042,56.1,"F",-0.053,"B",0
1044,47.4,"F",1.309,"A",0
1047,36.9,"F",0.994,"A",1
1048,45.1,"M",-1.525,"B",0
1051,53.3,"F",-0.523,"C",0
1053,54.7,"M",-0.587,"A",0
1054,40.5,"M",1.266,"A",1
1055,61.6,"M",-0.469,"C",0
1058,50.5,"M",-0.875,"A",0
1061,64.8,"M",1.449,"B",0
1062,43.9,"M",-1.566,"A",0
1067,39.1,"F",0.046,"B",0
1068,54.6,"M",-1.154,"A",0
1070,67.8,"F",-0.946,"C",0
1071,55.4,"M",0.064,"C",1
1073,39.7,"F",0.327,"C",0
1075,53.4,"M",0.766,"B",0
1076,45.5,"F",1.054,"A",1
1077,55.1,"M",-1.356,"B",0
1079,48.9,"M",-0.07,"A",1
1080,42.7,"M",0.72,"A",1
1082,53.3,"M",-0.203,"C",0
1083,52.3,"F",1.678,"A",0
1085,56.6,"M",-1.756,"B",0
1086,39.8,"M",-0.385,"A",0
1087,41.1,"M",-0.992,"C",1
1088,59.2,"F",2.972,"B",1
1091,67.7,"F",0.096,"B",1
1092,26.2,"M",0.109,"C",0
1093,55.7,"F",0.495,"C",1
1095,43.7,"F",0.833,"B",1
1099,54.8,"F",-0.523,"B",0
1100,47.6,"M",-0.506,"B",0
1103,40.6,"M",-0.922,"C",0
1104,36,"M",0.541,"B",1
1106,47.3,"M",-0.557,"B",1
1107,40.1,"F",0.298,"B",1
1110,51.6,"M",-1.257,"B",0
1112,59.6,"F",0.052,"A",1
1113,74.2,"M",0.562,"A",1
1114,40.8,"F",-0.876,"B",0
1119,65.8,"F",-0.693,"B",0
1123,64,"F",0.934,"C",0
1125,44.8,"M",-1.701,"C",0
1127,49.5,"M",-0.63,"C",1
1128,45.6,"F",-0.932,"C",0
1129,53,"F",0.322,"A",1
1130,34.3,"F",2.502,"C",1
1136,43.1,"F",0.664,"C",0
1138,63,"F",-0.123,"B",1
1139,65.8,"M",0.057,"A",1
1140,48.4,"F",0.652,"A",0
1141,46.4,"M",-0.026,"B",1
1145,52.9,"M",-0.055,"B",1
1146,42.5,"F",-0.372,"C",0
1147,41.5,"F",0.177,"B",0
1148,62,"F",-0.773,"A",1
1149,44.5,"F",-0.802,"B",1
1151,49.4,"F",-0.881,"C",0
1153,55.9,"F",-0.968,"C",0
1155,64,"M",0.39,"A",0
1156,51.2,"F",-1.01,"A",0
1159,38.1,"F",-0.317,"A",1
1160,41.6,"M",0.245,"A",0
1162,46.7,"F",-0.84,"A",1
1163,49.3,"M",-1.397,"A",1
1168,57.6,"F",-0.929,"C",1
1172,63.4,"F",-0.994,"C",1
1173,40.4,"F",-0.415,"C",1
1175,49,"F",0.519,"A",1
1176,57.7,"M",0.787,"A",0
1177,44.2,"F",0.997,"A",0
1179,32.2,"M",1.109,"C",0
1181,51.3,"F",0.3,"C",1
1184,45.3,"F",1.325,"C",0
1185,56.1,"M",0.504,"C",0
1187,41.8,"F",-0.35,"A",1
1189,64.4,"F",-0.09,"A",1
1190,28,"F",-0.5,"B",0
1195,41.4,"F",-0.435,"A",1
1197,43.5,"M",0.027,"C",1
1199,41.9,"F",0.074,"C",1
1200,53.7,"M",-0.991,"C",0
1206,61,"F",-0.338,"C",1
1208,61.1,"M",1.347,"C",0
1209,45.1,"M",-0.06,"B",0
1210,52.9,"F",0.355,"A",1
1216,58.3,"M",-1.486,"B",0
1219,38.4,"M",-0.253,"C",1
1222,40.1,"F",0.315,"C",1
1223,28.4,"F",0.441,"B",1
1225,46.1,"M",-0.284,"C",0
1226,58.6,"M",-0.618,"A",0
1230,53.6,"M",-0.794,"C",0
1231,41.5,"M",-0.123,"A",0
1233,48.4,"M",0.791,"B",0
1236,30.7,"F",-1.497,"C",1
1241,42.7,"M",-0.365,"C",0
1244,42.2,"M",-0.364,"B",1
1246,56.5,"F",0.156,"B",0
1247,51.8,"M",-0.752,"C",0
1250,53.9,"M",-0.723,"A",1
1253,54.3,"F",0.526,"C",1
1255,62.9,"F",0.41,"A",1
1256,40,"F",0.301,"C",0
1257,38.9,"M",-0.095,"B",0
1258,55.9,"F",0.449,"A",1
1260,50.7,"M",0.654,"A",0
1263,47.4,"F",-0.596,"B",1
1266,60.6,"F",-0.599,"B",0
1268,64.3,"F",0.226,"A",1
1270,61.3,"F",-0.903,"A",1
1272,56.1,"M",1.065,"A",1
1274,47.2,"F",-1.534,"C",1
1275,48.9,"F",0.778,"B",1
1276,52.3,"F",-0.065,"B",0
1280,49.3,"M",-0.627,"C",0
1282,48.6,"M",-1.215,"C",0
1285,36.4,"F",-0.573,"A",1
1286,49.3,"F",1.536,"A",1
1287,47.3,"F",-0.748,"B",0
1288,38,"M",-0.019,"B",1
1289,30.1,"F",0.388,"B",0
1290,46.5,"F",2.323,"C",1
1291,56.5,"F",0.615,"A",1
1294,64.9,"F",-1.745,"A",0
1297,53.2,"F",-1.342,"C",0
1301,42.5,"M",1.433,"A",0
1302,46.8,"M",0.913,"C",1
1303,38.5,"F",0.382,"C",0
1307,37.8,"F",0.052,"B",0
1310,50,"M",0.039,"C",0
1311,63.4,"M",-1.998,"A",1
1314,42.5,"F",-0.133,"A",1
1315,45.2,"F",-0.24,"C",1
1317,43.2,"M",-0.642,"A",0
1318,33,"M",-0.664,"B",0
1320,53.6,"M",0.62,"A",0
1322,30.1,"M",-0.226,"A",0
1323,69,"F",1.48,"C",1
1325,52.1,"F",-1.002,"B",0
1328,43,"F",-1.494,"B",0
1329,46.5,"F",-1.636,"B",0
1332,56.2,"M",-2.344,"C",0
1333,47.1,"F",-1.706,"B",0
1335,48.9,"M",0.889,"C",0
1336,31.4,"F",-0.381,"C",0
1337,58.4,"F",1.2,"C",1
1338,35.6,"F",-0.614,"B",1
1345,34.8,"F",-0.644,"A",1
1346,41.9,"M",-1.799,"A",1
1347,38.3,"M",-0.97,"A",0
1350,53,"F",1.068,"C",1
1353,42.1,"F",1.106,"A",0
1354,58.9,"F",2.415,"A",1
1356,70.1,"M",1.178,"C",1
1360,54.1,"M",-0.968,"B",0
1361,69,"M",-0.557,"C",1
1362,51.1,"F",-1.11,"A",0
1363,61.4,"F",-1.161,"A",1
1364,57.7,"F",-0.413,"A",1
1367,63.1,"F",0.118,"C",0
1368,58.8,"F",-0.203,"C",0
1369,54.6,"F",0.793,"A",0
1372,36.8,"F",-0.584,"A",1
1373,63,"F",0.892,"C",1
1377,37.4,"M",-0.003,"C",0
1378,44.5,"F",2.924,"A",0
1379,38.2,"F",-0.134,"A",0
1380,56.2,"M",-1.571,"C",0
1382,54.2,"F",-0.871,"A",1
1383,54.4,"F",1.478,"A",0
1386,30.3,"F",0.308,"A",1
1387,48.5,"F",-0.537,"A",1
1388,51.1,"F",-0.677,"B",0
1390,38.1,"M",-0.871,"A",0
1393,60.6,"F",0.529,"A",1
1395,57.9,"M",1.603,"C",1
1398,61.5,"M",-0.318,"B",0
1399,51.7,"M",-0.266,"B",0
1400,44.3,"F",-1.642,"B",0
1401,39.1,"F",-0.033,"C",1
1402,43.3,"F",-0.776,"C",0
1403,57.1,"M",0.356,"C",0
1404,45.7,"M",-1.113,"C",1
1405,52.3,"M",3.446,"C",1
1407,55.8,"F",-0.282,"B",0
1408,63.6,"M",-1.229,"B",0
1411,50.7,"M",-0.387,"B",1
1413,38.3,"F",-0.94,"B",1
1414,58.1,"M",1.538,"A",1
1415,53.1,"M",0.468,"B",1
1416,52.6,"F",-0.717,"C",1
1419,59.3,"F",0.509,"A",1
1420,56.5,"M",-0.809,"B",1
1422,60.4,"M",1.583,"C",0
1424,56.7,"F",0.305,"A",1
1425,44.1,"M",0.334,"B",1
1426,65.8,"M",0.422,"C",0
1428,58.5,"F",0.386,"B",1
1429,49,"M",0.606,"C",0
1433,54.8,"M",0.058,"A",0
1434,53.9,"M",1.011,"A",0
1436,53.7,"F",0.194,"C",1
1437,28.3,"M",0.032,"B",0
1439,45.5,"M",1.199,"C",0
1440,43.1,"M",-1.162,"A",0
1441,49.9,"M",1.305,"C",0
1443,43.6,"M",-0.982,"A",0
1447,32.6,"M",1.503,"A",0
1449,55.5,"M",-0.693,"C",0
1453,58.5,"M",-0.334,"A",0
1455,45,"F",-0.164,"C",1
1457,58.7,"F",-0.856,"C",0
1459,57.6,"M",-0.926,"B",0
1463,55,"F",-1.145,"A",0
1464,56.3,"F",-0.885,"C",1
1466,48,"F",0.788,"C",0
1468,56.9,"F",0.489,"C",0
1470,41.7,"M",0.248,"A",1
1471,47.1,"M",0.448,"A",1
1472,36.8,"F",-1.163,"A",1
1473,40.3,"M",-0.062,"A",0
1474,48.6,"M",-0.616,"B",0
1477,61,"F",0.938,"B",0
1478,44.2,"F",-1.301,"C",0
1479,31.5,"M",-0.404,"A",0
1481,63.2,"M",0.329,"A",0
1483,54.4,"F",0.331,"A",0
1484,61.8,"F",-0.149,"A",1
1485,42.3,"F",-2.2,"C",0
1486,57.3,"F",-0.609,"A",0
1487,44.1,"F",-1.378,"C",1
1488,50,"M",-0.378,"A",0
1489,72.1,"F",2.054,"A",1
